particle_count,timesteps,threads,sample,time
1000,10,4,16,0.336
1000,10,4,17,0.332
1000,10,4,18,0.326
1000,10,4,19,0.331
1000,10,4,20,0.322
1000,10,4,21,0.342
1000,10,4,22,0.330
1000,10,4,23,0.334
1000,10,4,24,0.286
1000,10,4,25,0.328
1000,10,4,26,0.333
1000,10,4,27,0.331
1000,10,4,28,0.343
1000,10,4,29,0.338
1000,10,4,30,0.347
1000,10,8,1,0.335
1000,10,8,2,0.332
1000,10,8,3,0.327
1000,10,8,4,0.338
1000,10,8,5,0.340
1000,10,8,6,0.340
1000,10,8,7,0.332
1000,10,8,8,0.335
1000,10,8,9,0.335
1000,10,8,10,0.337
1000,10,8,11,0.339
1000,10,8,12,0.333
1000,10,8,13,0.331
1000,10,8,14,0.335
1000,10,8,15,0.334
1000,10,8,16,0.325
1000,10,8,17,0.332
1000,10,8,18,0.337
1000,10,8,19,0.332
1000,10,8,20,0.344
1000,10,8,21,0.324
1000,10,8,22,0.325
1000,10,8,23,0.331
1000,10,8,24,0.337
1000,10,8,25,0.328
1000,10,8,26,0.329
1000,10,8,27,0.328
1000,10,8,28,0.342
1000,10,8,29,0.326
1000,10,8,30,0.334
1000,10,12,1,0.333
1000,10,12,2,0.352
1000,10,12,3,0.341
1000,10,12,4,0.333
1000,10,12,5,0.363
1000,10,12,6,0.359
1000,10,12,7,0.355
1000,10,12,8,0.350
1000,10,12,9,0.347
1000,10,12,10,0.346
1000,10,12,11,0.344
1000,10,12,12,0.355
1000,10,12,13,0.341
1000,10,12,14,0.346
1000,10,12,15,0.348
1000,10,12,16,0.333
1000,10,12,17,0.351
1000,10,12,18,0.351
1000,10,12,19,0.346
1000,10,12,20,0.353
1000,10,12,21,0.338
1000,10,12,22,0.341
1000,10,12,23,0.335
1000,10,12,24,0.377
1000,10,12,25,0.335
1000,10,12,26,0.350
1000,10,12,27,0.329
1000,10,12,28,0.344
1000,10,12,29,0.360
1000,10,12,30,0.345
2000,10,1,1,0.448
2000,10,1,2,0.442
2000,10,1,3,0.462
2000,10,1,4,0.485
2000,10,1,5,0.516
2000,10,1,6,0.462
2000,10,1,7,0.486
2000,10,1,8,0.461
2000,10,1,9,0.443
2000,10,1,10,0.446
2000,10,1,11,0.482
2000,10,1,12,0.487
2000,10,1,13,0.514
2000,10,1,14,0.442
2000,10,1,15,0.445
2000,10,1,16,0.443
2000,10,1,17,0.479
2000,10,1,18,0.506
2000,10,1,19,0.463
2000,10,1,20,0.443
2000,10,1,21,0.448
2000,10,1,22,0.440
2000,10,1,23,0.483
2000,10,1,24,0.487
2000,10,1,25,0.444
2000,10,1,26,0.445
2000,10,1,27,0.461
2000,10,1,28,0.465
2000,10,1,29,0.462
2000,10,1,30,0.460
2000,10,2,1,0.425
2000,10,2,2,0.402
2000,10,2,3,0.399
2000,10,2,4,0.353
2000,10,2,5,0.418
2000,10,2,6,0.399
2000,10,2,7,0.363
2000,10,2,8,0.420
2000,10,2,9,0.397
2000,10,2,10,0.354
2000,10,2,11,0.427
2000,10,2,12,0.410
2000,10,2,13,0.395
2000,10,2,14,0.417
2000,10,2,15,0.406
2000,10,2,16,0.414
2000,10,2,17,0.421
2000,10,2,18,0.399
2000,10,2,19,0.427
2000,10,2,20,0.422
2000,10,2,21,0.355
2000,10,2,22,0.393
2000,10,2,23,0.412
2000,10,2,24,0.358
2000,10,2,25,0.350
2000,10,2,26,0.354
2000,10,2,27,0.403
2000,10,2,28,0.399
2000,10,2,29,0.351
2000,10,2,30,0.405
2000,10,4,1,0.417
2000,10,4,2,0.345
2000,10,4,3,0.425
2000,10,4,4,0.402
2000,10,4,5,0.380
2000,10,4,6,0.384
2000,10,4,7,0.367
2000,10,4,8,0.402
2000,10,4,9,0.405
2000,10,4,10,0.404
2000,10,4,11,0.402
2000,10,4,12,0.353
2000,10,4,13,0.399
2000,10,4,14,0.349
2000,10,4,15,0.401
2000,10,4,16,0.361
2000,10,4,17,0.367
2000,10,4,18,0.382
2000,10,4,19,0.363
2000,10,4,20,0.379
2000,10,4,21,0.380
2000,10,4,22,0.375
2000,10,4,23,0.368
2000,10,4,24,0.378
2000,10,4,25,0.315
2000,10,4,26,0.358
2000,10,4,27,0.362
2000,10,4,28,0.376
2000,10,4,29,0.401
2000,10,4,30,0.363
2000,10,8,1,0.374
2000,10,8,2,0.375
2000,10,8,3,0.369
2000,10,8,4,0.367
2000,10,8,5,0.364
2000,10,8,6,0.365
2000,10,8,7,0.367
2000,10,8,8,0.370
2000,10,8,9,0.371
2000,10,8,10,0.371
2000,10,8,11,0.375
2000,10,8,12,0.369
2000,10,8,13,0.363
2000,10,8,14,0.365
2000,10,8,15,0.362
2000,10,8,16,0.372
2000,10,8,17,0.377
2000,10,8,18,0.372
2000,10,8,19,0.368
2000,10,8,20,0.370
2000,10,8,21,0.373
2000,10,8,22,0.374
2000,10,8,23,0.369
2000,10,8,24,0.366
2000,10,8,25,0.377
2000,10,8,26,0.373
2000,10,8,27,0.372
2000,10,8,28,0.371
2000,10,8,29,0.367
2000,10,8,30,0.374
2000,10,12,1,0.382
2000,10,12,2,0.373
2000,10,12,3,0.388
2000,10,12,4,0.401
2000,10,12,5,0.377
2000,10,12,6,0.373
2000,10,12,7,0.371
2000,10,12,8,0.397
2000,10,12,9,0.362
2000,10,12,10,0.390
2000,10,12,11,0.375
2000,10,12,12,0.408
2000,10,12,13,0.365
